city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
山东省,山东,未知,457,0.0021881838,9.0191058768,-0.2734635429,3.4235106542,middle,high,high,高 GDI × 高 Exposure
山南,西藏,西部,13,0.0000000000,7.1886852255,-0.0990910192,2.5325911608,low,low,high,低 GDI × 低 Exposure
山西省,山西,未知,129,0.0000000000,8.5575803864,0.8006865111,3.1661550204,low,middle,high,低 GDI × 高 Exposure
岳阳,湖南,中部,827,0.0012091898,7.9118750575,-1.6605447889,3.6895648056,middle,low,low,高 GDI × 低 Exposure
崇左,广西,西部,236,0.0042372881,8.8573250709,-1.3846398007,3.6921386977,high,high,low,高 GDI × 高 Exposure
巴中,四川,西部,111,0.0000000000,9.1993587013,-0.1351824410,3.4514582681,low,high,high,低 GDI × 高 Exposure
巴彦淖尔,内蒙古,西部,98,0.0000000000,7.9102295836,-0.3184388594,3.1798639409,low,low,high,低 GDI × 低 Exposure
巴音郭楞,新疆,西部,74,0.0135135135,9.1725286815,-0.0394273770,3.3857988037,high,high,high,高 GDI × 高 Exposure
常州,江苏,东部,19794,0.0047994342,8.2161414227,-0.5330769965,3.9391115585,high,middle,middle,高 GDI × 低 Exposure
常德,湖南,中部,586,0.0017064846,7.8856758902,-1.2091580310,3.5231455654,middle,low,low,高 GDI × 低 Exposure
常熟,,未知,7,0.0000000000,7.9536331787,0.2346559553,2.0198149925,low,low,high,低 GDI × 低 Exposure
平凉,甘肃,西部,83,0.0000000000,8.3527206639,-1.4377359250,2.9485932732,low,middle,low,低 GDI × 低 Exposure
平顶山,河南,中部,364,0.0000000000,8.0396440097,-2.9429746699,3.3188912294,low,low,low,低 GDI × 低 Exposure
广东省,广东,未知,835,0.0083832335,9.1315511096,0.6918627626,3.8404551320,high,high,high,高 GDI × 高 Exposure
广元,四川,西部,145,0.0000000000,8.4866055453,-0.7156106233,3.2843545732,low,middle,middle,低 GDI × 高 Exposure
广安,四川,西部,335,0.0059701493,8.3214801417,-0.4976118547,3.6834500712,high,middle,middle,高 GDI × 低 Exposure
广州,广东,东部,82252,0.0127656470,9.3168269692,0.3924686362,4.0762063933,high,high,high,高 GDI × 高 Exposure
广西,广西,未知,181,0.0110497238,9.2372964032,0.0535394283,3.1312431790,high,high,high,高 GDI × 高 Exposure
庆阳,甘肃,西部,132,0.0000000000,8.1903741103,-2.8188077160,2.8867004463,low,low,low,低 GDI × 低 Exposure
廊坊,河北,东部,1059,0.0028328612,8.0684063823,-0.9683219398,3.4775539889,middle,low,middle,高 GDI × 低 Exposure
延吉,吉林,东北,56,0.0357142857,8.5728740761,-0.7236870561,2.8945386792,high,middle,middle,高 GDI × 高 Exposure
延安,陕西,西部,195,0.0000000000,8.4843370518,-2.7466602362,3.1230772113,low,middle,low,低 GDI × 高 Exposure
延边,吉林,东北,70,0.0142857143,10.1906100278,-0.5099212227,3.2808200405,high,high,middle,高 GDI × 高 Exposure
开封,河南,中部,539,0.0000000000,8.1601557486,-2.9301940458,3.3480545478,low,low,low,低 GDI × 低 Exposure
开平,广东,东部,249,0.0040160643,7.7733851918,-0.7790618753,3.6181724774,middle,low,middle,高 GDI × 低 Exposure
张家口,河北,东部,445,0.0000000000,8.4798756704,-1.8984579850,3.2779196643,low,middle,low,低 GDI × 高 Exposure
张家港,,未知,6,0.0000000000,8.3392976780,0.2336641040,1.7478680975,low,middle,high,低 GDI × 低 Exposure
张家界,湖南,中部,105,0.0000000000,8.4043973231,-1.1990843569,3.2044473341,low,middle,low,低 GDI × 高 Exposure
张掖,甘肃,西部,116,0.0000000000,7.9827141350,-1.8107143949,3.0138100113,low,low,low,低 GDI × 低 Exposure
徐州,江苏,东部,2757,0.0029017048,8.6911625636,-0.2229930344,3.8752980615,middle,high,high,高 GDI × 高 Exposure
德宏,云南,西部,132,0.0000000000,8.5256203711,-0.4854880896,3.3593582267,low,middle,middle,低 GDI × 高 Exposure
德州,山东,东部,380,0.0000000000,8.4145375663,-1.0493453421,3.4757465234,low,middle,low,低 GDI × 高 Exposure
德阳,四川,西部,922,0.0021691974,8.1782952444,-0.5677496712,3.8914309031,middle,low,middle,高 GDI × 低 Exposure
忻州,山西,中部,149,0.0000000000,7.6520793147,-2.9205355730,3.0276728118,low,low,low,低 GDI × 低 Exposure
怀化,湖南,中部,320,0.0000000000,8.6213823131,-1.5808605002,3.3956172348,low,high,low,低 GDI × 高 Exposure
怒江,云南,西部,44,0.0000000000,8.1002607520,-1.5360319347,3.0400338223,low,low,low,低 GDI × 低 Exposure
恩施,湖北,中部,206,0.0000000000,8.9658975912,0.2569846746,3.2613022060,low,high,high,低 GDI × 高 Exposure
惠州,广东,东部,16074,0.0051636183,8.3488415680,-0.2831585039,3.9076718233,high,middle,high,高 GDI × 低 Exposure
成都,四川,西部,35212,0.0115869590,9.1397753456,0.2501807993,4.0009566922,high,high,high,高 GDI × 高 Exposure
扬州,江苏,东部,2905,0.0041308090,8.2031026911,-0.6638388838,3.9057651228,middle,low,middle,高 GDI × 低 Exposure
承德,河北,东部,319,0.0031347962,8.2795211480,-1.9102288383,3.2314167981,middle,middle,low,高 GDI × 低 Exposure
抚州,江西,中部,411,0.0000000000,8.0810012405,-1.9474572968,3.5518060537,low,low,low,低 GDI × 低 Exposure
抚顺,辽宁,东北,141,0.0141843972,8.2504328495,-0.8876253951,3.0663704689,high,middle,middle,高 GDI × 低 Exposure
拉萨,西藏,西部,321,0.0062305296,8.9512689075,0.0233034658,3.5590686348,high,high,high,高 GDI × 高 Exposure
揭阳,广东,东部,428,0.0023364486,9.0922997412,-0.0346250066,3.5035563832,middle,high,high,高 GDI × 高 Exposure
攀枝花,四川,西部,282,0.0000000000,8.3073363908,-0.1254383854,3.3240673576,low,middle,high,低 GDI × 低 Exposure
文山,云南,西部,193,0.0000000000,8.8639846539,-0.2978658205,3.3286578630,low,high,high,低 GDI × 高 Exposure
文昌,海南,东部,112,0.0000000000,8.8083604369,-0.4996335602,3.3291295860,low,high,middle,低 GDI × 高 Exposure
新乡,河南,中部,825,0.0012121212,8.3618995706,-1.7732526285,3.5837519474,middle,middle,low,高 GDI × 低 Exposure
新余,江西,中部,347,0.0028818444,8.3560784588,-1.7021832111,3.6366767020,middle,middle,low,高 GDI × 低 Exposure
新星,新疆,西部,4,0.0000000000,11.0566756466,-1.0657266435,1.9061547465,low,high,low,低 GDI × 高 Exposure
新疆,新疆,未知,74,0.0000000000,9.0430657923,0.0932070089,2.8582747358,low,high,high,低 GDI × 高 Exposure
无锡,江苏,东部,24491,0.0068188314,8.4485783990,-0.2160231051,3.9827949211,high,middle,high,高 GDI × 高 Exposure
日喀则,西藏,西部,13,0.0000000000,9.8631622354,0.1670915206,2.3947004059,low,high,high,低 GDI × 高 Exposure
日照,山东,东部,240,0.0000000000,8.2351336281,-0.6041342893,3.4692144457,low,middle,middle,低 GDI × 低 Exposure
昆山,,未知,12,0.0000000000,8.1143267202,0.6883818174,2.4387482309,low,low,high,低 GDI × 低 Exposure
昆明,云南,西部,13915,0.0053180022,9.2783636895,0.0924749029,3.8305381591,high,high,high,高 GDI × 高 Exposure
