city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type,n_c,city_display_weight,GDI_c_weighted_display,Exposure_c_weighted_display,SRI_c_weighted_display,entropy_c_weighted_display,GDI_rank_raw,GDI_rank_weighted,SRI_rank_raw,SRI_rank_weighted,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c_penalty_display,GDI_rank_penalty,Exposure_c_penalty_display,Exposure_rank_raw,Exposure_rank_penalty,SRI_c_penalty_display,SRI_rank_penalty,entropy_c_penalty_display,entropy_rank_raw,entropy_rank_penalty
克拉玛依,新疆,西部,46,0.0,9.095678796,-0.4153460918,3.2620303945,low,high,high,低 GDI × 高 Exposure,46,0.0183502691610293,0.0,0.1669081541088675,-0.0076217125795116,0.0598591357505338,165.0,165.0,103.0,61.0,1000,0.21447610589527216,1,0.0,165.0,1.9508057686402775,29.0,308.0,-0.08908181236808423,65.0,0.6996275763243784,241.0,307.0
六安,安徽,中部,806,0.0074441687,8.368205776,-0.4875421808,3.7126772287,high,middle,middle,高 GDI × 高 Exposure,806,0.0768123485452179,0.0005718040808138,0.6427815387642177,-0.0374492599221052,0.2851794573267981,41.0,53.0,117.0,170.0,1000,0.8977750274985377,1,0.006683188759346253,36.0,7.512766170661822,169.0,104.0,-0.43770319477441705,182.0,3.333148901089337,110.0,104.0
六盘水,贵州,西部,227,0.0,8.0785267809,-1.6553985589,3.3378966581,low,low,low,低 GDI × 低 Exposure,227,0.0407639679635318,0.0,0.3293128068891419,-0.0674806138218764,0.1360659124363685,165.0,165.0,278.0,235.0,1000,0.47644516998286385,1,0.0,165.0,3.8489750653370187,261.0,227.0,-0.7887066477844984,252.0,1.5903247406536878,218.0,219.0
兰州,甘肃,西部,1693,0.0005906675,8.7455850644,-0.54645823,3.4916228008,middle,high,middle,高 GDI × 高 Exposure,1693,0.111324820119345,6.575595318784321e-05,0.9736006841327602,-0.0608343641574856,0.3887042802236636,164.0,164.0,133.0,222.0,1000,1.0,0,0.0005906675,164.0,8.7455850644,74.0,33.0,-0.54645823,208.0,3.4916228008,179.0,98.0
兴安盟,内蒙古,西部,35,0.0,8.1359161847,-0.6056921021,3.1262545923,low,low,middle,低 GDI × 低 Exposure,35,0.0160065429827372,0.0,0.1302278921143482,-0.0096950366665681,0.0500405285066296,165.0,165.0,147.0,74.0,1000,0.18708286933869708,1,0.0,165.0,1.5220905445328208,243.0,319.0,-0.11331461639665508,80.0,0.5848686794107626,271.0,318.0
内江,四川,西部,404,0.0024752475,8.5185462365,-0.4016929729,3.6775044178,middle,middle,high,高 GDI × 高 Exposure,404,0.0543818785406417,0.000134608608903,0.4632545467761839,-0.021844818462877,0.199989598581473,120.0,143.0,102.0,111.0,1000,0.6356099432828282,1,0.0015732919230859622,138.0,5.414472690233914,127.0,155.0,-0.2553200477220796,119.0,2.337458374420208,121.0,148.0
凉山,四川,西部,230,0.0086956522,8.6649887596,-0.5020765642,3.4563535825,high,high,middle,高 GDI × 高 Exposure,230,0.0410324492494797,0.0003568039075876,0.3555457115255991,-0.0206014311398896,0.1418226529621886,38.0,73.0,121.0,109.0,1000,0.47958315233127197,1,0.0041702882936523605,61.0,4.155582624244006,84.0,211.0,-0.24078746137069026,117.0,1.657608946666835,191.0,216.0
包头,内蒙古,西部,433,0.0,8.3431129293,-0.9760976988,3.1680156851,low,middle,middle,低 GDI × 低 Exposure,433,0.0562998802601637,0.0,0.469716258916614,-0.0549541835646613,0.1783589037334506,165.0,165.0,211.0,207.0,1000,0.6580273550544841,1,0.0,165.0,5.489996533788148,184.0,153.0,-0.6422989870161324,223.0,2.084640982037472,260.0,174.0
北京,北京,东部,27472,0.029011357,9.8365080735,1.4431886966,4.0978192798,high,high,high,高 GDI × 高 Exposure,27472,0.4484444586851526,0.0130099822855867,4.411127538372841,0.647189973827318,1.837644348719493,1.0,2.0,1.0,1.0,1000,1.0,0,0.029011357,1.0,9.8365080735,4.0,1.0,1.4431886966,1.0,4.0978192798,2.0,2.0
北海,广西,西部,352,0.0,8.3137063649,-1.4406602451,3.6308862229,low,middle,low,低 GDI × 低 Exposure,352,0.0507615476593093,0.0,0.4220166018673749,-0.0731301436925159,0.1843094040492681,165.0,165.0,260.0,243.0,1000,0.593295878967653,1,0.0,165.0,4.932487725242317,191.0,173.0,-0.8547377864103589,261.0,2.1541898330469973,134.0,162.0
十堰,湖北,中部,611,0.0032733224,8.6463614538,-0.2077669868,3.7256178018,middle,high,high,高 GDI × 高 Exposure,611,0.0668781310734617,0.0002189136845128,0.5782524946157636,-0.0138950677759485,0.2491623556784027,100.0,106.0,65.0,89.0,1000,0.7816648898345121,1,0.0025586411931888407,96.0,6.75855717325395,86.0,123.0,-0.16240415884827053,92.0,2.912184628609494,107.0,121.0
南京,江苏,东部,26215,0.0135418653,9.0774439157,0.393955943,4.0344882911,high,high,high,高 GDI × 高 Exposure,26215,0.4380648973330358,0.0059322158323423,3.976509536977512,0.1725782697240342,1.7673676990320564,12.0,7.0,15.0,6.0,1000,1.0,0,0.0135418653,6.0,9.0774439157,34.0,15.0,0.393955943,10.0,4.0344882911,7.0,7.0
南充,四川,西部,492,0.0,8.6073024301,-0.4186302484,3.6467398253,low,high,high,低 GDI × 高 Exposure,492,0.0600131018511891,0.0,0.5165509174015788,-0.0251232997352177,0.2188521685605164,165.0,165.0,106.0,131.0,1000,0.7014271166700072,1,0.0,165.0,6.03739532585179,101.0,136.0,-0.2936386080860609,141.0,2.557922200905865,130.0,136.0
南宁,广西,西部,4527,0.0136956042,9.0238436867,-0.3636107494,3.8509695922,high,high,high,高 GDI × 高 Exposure,4527,0.1820408146115229,0.0024931589451649,1.6427078556539163,-0.0661919970222823,0.7010336416082923,10.0,20.0,95.0,233.0,1000,1.0,0,0.0136956042,4.0,9.0238436867,38.0,17.0,-0.3636107494,161.0,3.8509695922,50.0,48.0
南平,福建,东部,198,0.0,8.7094534448,-1.9138002781,3.6256386047,low,high,low,低 GDI × 高 Exposure,198,0.038071160744482,0.0,0.3315790020935634,-0.0728605980203794,0.1380322701209332,165.0,165.0,296.0,242.0,1000,0.4449719092257398,1,0.0,165.0,3.8754621276453523,80.0,223.0,-0.8515873636229089,260.0,1.6133073320959064,136.0,218.0
南昌,江西,中部,5609,0.0062399715,8.7936137572,0.0320895711,3.894699534,high,high,high,高 GDI × 高 Exposure,5609,0.2026311657745477,0.0012644126994449,1.7818602069925369,0.0065023472011982,0.7891875069160079,50.0,36.0,35.0,28.0,1000,1.0,0,0.0062399715,39.0,8.7936137572,66.0,30.0,0.0320895711,33.0,3.894699534,36.0,36.0
南通,江苏,东部,12469,0.003769348,7.8495784163,-0.7640553586,3.8982449126,middle,low,middle,高 GDI × 低 Exposure,12469,0.3021199022271826,0.0011387950492202,2.37151386365716,-0.2308363302363869,1.1777373718523243,87.0,37.0,178.0,343.0,1000,1.0,0,0.003769348,64.0,7.8495784163,302.0,96.0,-0.7640553586,249.0,3.8982449126,34.0,34.0
南阳,河南,中部,907,0.0044101433,8.1231477703,-2.7157715544,3.1051534048,high,low,low,高 GDI × 低 Exposure,907,0.0814830293216588,0.0003593518358266,0.6618986879515226,-0.2212892931981022,0.2530173059315672,76.0,72.0,319.0,341.0,1000,0.9523654760647301,1,0.004200068223418179,60.0,7.73620549340591,246.0,100.0,-2.586407069289208,343.0,2.9572409006163696,276.0,119.0
博尔塔拉,新疆,西部,12,0.0,7.5412073158,-1.000347361,2.4471513083,low,low,middle,低 GDI × 低 Exposure,12,0.0093724718787042,0.0,0.0706797534988144,-0.0093757275099085,0.0229358568199761,165.0,165.0,217.0,70.0,1000,0.10954451150103323,1,0.0,165.0,0.826097871537329,329.0,335.0,-0.10958256299209274,76.0,0.26807199463683784,329.0,335.0
厦门,福建,东部,4717,0.0127199491,9.0505387537,0.3822810287,4.0167715759,high,high,high,高 GDI × 高 Exposure,4717,0.185821713779941,0.0023636427409556,1.6817866218443054,0.0710361158985928,0.7464033780962923,16.0,21.0,16.0,12.0,1000,1.0,0,0.0127199491,9.0,9.0505387537,35.0,16.0,0.3822810287,11.0,4.0167715759,10.0,10.0
双鸭山,黑龙江,东北,31,0.0,8.0625270158,-0.5356922379,2.6472082086,low,low,middle,低 GDI × 低 Exposure,31,0.0150641409275752,0.0,0.1214550431983939,-0.0080697433655337,0.0398779175189844,165.0,165.0,129.0,63.0,1000,0.17606816861659008,1,0.0,165.0,1.4195543660936873,265.0,325.0,-0.09431835126917569,68.0,0.4660891012350062,323.0,323.0
台州,浙江,东部,3278,0.0015253203,8.0909154326,-0.415859322,3.8618271006,middle,low,high,高 GDI × 低 Exposure,3278,0.1549059136610191,0.0002362811346971,1.253330647440943,-0.0644190682288619,0.5982198554193275,147.0,102.0,104.0,228.0,1000,1.0,0,0.0015253203,140.0,8.0909154326,254.0,82.0,-0.415859322,177.0,3.8618271006,49.0,47.0
合肥,安徽,中部,16438,0.0104027254,8.6566636531,0.1021371225,3.9759017057,high,high,high,高 GDI × 高 Exposure,16438,0.3468869893095502,0.0036085700946199,3.002883992089272,0.0354300389207657,1.3791885724809785,22.0,12.0,29.0,18.0,1000,1.0,0,0.0104027254,16.0,8.6566636531,85.0,39.0,0.1021371225,24.0,3.9759017057,18.0,18.0
吉安,江西,中部,1460,0.0061643836,8.314128472,-0.3958111832,3.8369561851,high,middle,high,高 GDI × 低 Exposure,1460,0.1033808148348334,0.0006372789995224,0.8595213760768485,-0.0409192826399555,0.3966676569011919,51.0,45.0,99.0,177.0,1000,1.0,0,0.0061643836,40.0,8.314128472,190.0,64.0,-0.3958111832,173.0,3.8369561851,59.0,55.0
吐鲁番,新疆,西部,29,0.0,7.2942770975,-0.9294926084,2.7729734675,low,low,middle,低 GDI × 低 Exposure,29,0.0145700996461816,0.0,0.1062783441574359,-0.0135427999247773,0.0404024997376929,165.0,165.0,207.0,88.0,1000,0.17029386365926402,1,0.0,165.0,1.2421706295345571,338.0,327.0,-0.1582868875271633,91.0,0.4722203656052016,317.0,321.0
吕梁,山西,中部,196,0.0,7.5457423457,-3.2504606245,2.9278925679,low,low,low,低 GDI × 低 Exposure,196,0.0378783941349947,0.0,0.2858206026115444,-0.1231222286550921,0.110903868671838,165.0,165.0,336.0,306.0,1000,0.4427188724235731,1,0.0,165.0,3.3406425428871116,328.0,246.0,-1.4390402625358634,314.0,1.2962332962380478,303.0,247.0
吴忠,宁夏,西部,106,0.0094339623,8.4879421016,-1.1982136036,3.0605333786,high,middle,low,高 GDI × 高 Exposure,106,0.0278558525963169,0.000262791063228,0.2364388640282422,-0.0333772615207833,0.0852537666603894,27.0,94.0,246.0,155.0,1000,0.3255764119219941,1,0.0030714755958413625,84.0,2.763473734040558,131.0,275.0,-0.39011008577621054,169.0,0.996437475972086,286.0,284.0
周口,河南,中部,514,0.0,7.9641270599,-3.1896476585,3.2935847816,low,low,low,低 GDI × 低 Exposure,514,0.0613401851468449,0.0,0.4885210283872638,-0.1956535779255904,0.2020291003001748,165.0,165.0,335.0,339.0,1000,0.7169379331573968,1,0.0,165.0,5.709784793727602,282.0,143.0,-2.2867793997853205,342.0,2.3612958659989602,231.0,146.0
呼伦贝尔,内蒙古,西部,79,0.0,7.8425962849,-0.2351913441,3.1809349974,low,low,high,低 GDI × 低 Exposure,79,0.0240478950919671,0.0,0.1885979327079264,-0.0056558567694555,0.0764947911118419,165.0,165.0,69.0,54.0,1000,0.2810693864511039,1,0.0,165.0,2.20431372598055,305.0,300.0,-0.06610508678479746,55.0,0.8940634480600619,256.0,297.0
