city,province,city_job_count,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_rank_raw,GDI_rank_penalty,SRI_c,SRI_rank_raw,SRI_rank_penalty,entropy_c,entropy_rank_raw,entropy_rank_penalty,GDI_rank_change,SRI_rank_change,entropy_rank_change
平凉,甘肃,83,0.28809720581775866,1,0.0,165.0,165.0,-1.425972688,257.0,175.0,2.9485932732,300.0,300.0,0.0,-82.0,0.0
平顶山,河南,364,0.6033241251599343,1,0.0,165.0,165.0,-2.9349710969,329.0,330.0,3.3188912294,226.0,184.0,0.0,1.0,-42.0
广元,四川,145,0.3807886552931954,1,0.0,165.0,165.0,-0.6977928604,162.0,122.0,3.2843545732,235.0,250.0,0.0,-40.0,15.0
广安,四川,335,0.5787918451395113,1,0.0059701493,54.0,75.0,-0.4791540616,115.0,129.0,3.6834500712,118.0,168.0,21.0,14.0,50.0
广州,广东,83087,1.0,0,0.0127216051,15.0,8.0,0.4110771748,13.0,8.0,4.0761408502,3.0,3.0,-7.0,-5.0,0.0
庆阳,甘肃,132,0.363318042491699,1,0.0,165.0,165.0,-2.8123881174,324.0,287.0,2.8867004463,310.0,278.0,0.0,-37.0,-32.0
廊坊,河北,1105,1.0,0,0.0027149321,115.0,93.0,-1.0351741708,228.0,288.0,3.4861113821,181.0,99.0,-22.0,60.0,-82.0
延安,陕西,195,0.44158804331639234,1,0.0,165.0,165.0,-2.738336325,320.0,299.0,3.1230772113,274.0,240.0,0.0,-21.0,-34.0
延边,吉林,126,0.35496478698597694,1,0.0238095238,4.0,27.0,-0.6743142781,157.0,115.0,3.313235654,228.0,254.0,23.0,-42.0,26.0
开封,河南,539,0.7341661937191061,1,0.0,165.0,165.0,-2.9221421081,328.0,340.0,3.3480545478,216.0,141.0,0.0,12.0,-75.0
开平,广东,249,0.498998997994986,1,0.0040160643,83.0,119.0,-0.7628389389,177.0,164.0,3.6181724774,142.0,201.0,36.0,-13.0,59.0
张家口,河北,445,0.6670832032063166,1,0.0,165.0,165.0,-1.8878603367,294.0,304.0,3.2779196643,236.0,161.0,0.0,10.0,-75.0
张家界,湖南,105,0.324037034920393,1,0.0,165.0,165.0,-1.1850794216,243.0,166.0,3.2044473341,252.0,280.0,0.0,-77.0,28.0
张掖,甘肃,116,0.34058772731852804,1,0.0,165.0,165.0,-1.7990992502,287.0,219.0,3.0138100113,294.0,281.0,0.0,-68.0,-13.0
徐州,江苏,2757,1.0,0,0.0029017048,109.0,90.0,-0.2022955346,64.0,107.0,3.8752980615,46.0,44.0,-19.0,43.0,-2.0
德宏,云南,132,0.363318042491699,1,0.0,165.0,165.0,-0.4664887544,112.0,93.0,3.3593582267,214.0,253.0,0.0,-19.0,39.0
德州,山东,380,0.6164414002968976,1,0.0,165.0,165.0,-1.0326709551,227.0,222.0,3.4757465234,184.0,165.0,0.0,-5.0,-19.0
德阳,四川,922,0.9602083107326244,1,0.0021691974,131.0,112.0,-0.5492609038,135.0,205.0,3.8914309031,38.0,79.0,-19.0,70.0,41.0
忻州,山西,149,0.38600518131237566,1,0.0,165.0,165.0,-2.914504469,327.0,294.0,3.0276728118,292.0,258.0,0.0,-33.0,-34.0
怀化,湖南,320,0.565685424949238,1,0.0,165.0,165.0,-1.5674635415,272.0,263.0,3.3956172348,208.0,193.0,0.0,-9.0,-15.0
怒江,云南,44,0.20976176963403032,1,0.0,165.0,165.0,-1.5228771118,266.0,146.0,3.0400338223,288.0,313.0,0.0,-120.0,25.0
恩施,湖北,206,0.4538722287164087,1,0.0,165.0,165.0,0.2785770973,19.0,19.0,3.261302206,242.0,228.0,0.0,0.0,-14.0
惠州,广东,16074,1.0,0,0.0051636183,67.0,50.0,-0.2647963234,74.0,121.0,3.9076718233,32.0,32.0,-17.0,47.0,0.0
成都,四川,35728,1.0,0,0.0117554859,18.0,11.0,0.2726843724,20.0,14.0,4.0002226475,12.0,12.0,-7.0,-6.0,0.0
扬州,江苏,2905,1.0,0,0.004130809,80.0,62.0,-0.64509612,153.0,225.0,3.9057651228,33.0,33.0,-18.0,72.0,0.0
承德,河北,319,0.5648008498577175,1,0.0031347962,104.0,128.0,-1.9001262364,295.0,291.0,3.2314167981,248.0,200.0,24.0,-4.0,-48.0
抚州,江西,411,0.6410928169929843,1,0.0,165.0,165.0,-1.9341185368,297.0,301.0,3.5518060537,165.0,155.0,0.0,4.0,-10.0
抚顺,辽宁,141,0.37549966711037175,1,0.0141843972,9.0,49.0,-0.876570671,197.0,151.0,3.0663704689,284.0,261.0,40.0,-46.0,-23.0
拉萨,西藏,330,0.5744562646538028,1,0.0060606061,53.0,74.0,0.06003125,33.0,32.0,3.5394507465,169.0,179.0,21.0,-1.0,10.0
揭阳,广东,428,0.6542170893518451,1,0.0023364486,126.0,139.0,-0.0135910376,38.0,39.0,3.5035563832,177.0,153.0,13.0,1.0,-24.0
攀枝花,四川,282,0.5310367218940701,1,0.0,165.0,165.0,-0.1060063824,48.0,50.0,3.3240673576,225.0,207.0,0.0,2.0,-18.0
文山,云南,193,0.4393176527297759,1,0.0,165.0,165.0,-0.278261363,76.0,82.0,3.328657863,220.0,230.0,0.0,6.0,10.0
新乡,河南,825,0.9082951062292475,1,0.0012121212,155.0,156.0,-1.7601518455,285.0,325.0,3.5837519474,153.0,108.0,1.0,40.0,-45.0
新余,江西,347,0.5890670590009256,1,0.0028818444,111.0,134.0,-1.6881438268,280.0,281.0,3.636676702,132.0,166.0,23.0,1.0,34.0
无锡,江苏,24491,1.0,0,0.0068188314,45.0,34.0,-0.1970204844,63.0,103.0,3.9827949211,17.0,17.0,-11.0,40.0,0.0
日喀则,西藏,13,0.11401754250991379,1,0.0,165.0,165.0,0.1856681077,22.0,35.0,2.3947004059,332.0,334.0,0.0,13.0,2.0
日照,山东,240,0.4898979485566356,1,0.0,165.0,165.0,-0.5849389675,143.0,137.0,3.4692144457,186.0,214.0,0.0,-6.0,28.0
昆明,云南,14163,1.0,0,0.0054367013,60.0,46.0,0.1217025958,26.0,20.0,3.832234942,61.0,56.0,-14.0,-6.0,-5.0
昌吉,新疆,161,0.4012480529547776,1,0.0,165.0,165.0,-0.1832745042,59.0,58.0,3.5050458728,176.0,239.0,0.0,-1.0,63.0
昌都,西藏,9,0.09486832980505137,1,0.0,165.0,165.0,-0.264053046,73.0,44.0,2.1972245773,335.0,336.0,0.0,-29.0,1.0
昭通,云南,253,0.5029910535983717,1,0.0,165.0,165.0,-1.283299631,249.0,226.0,3.4455241609,193.0,210.0,0.0,-23.0,17.0
晋中,山西,225,0.4743416490252569,1,0.0,165.0,165.0,-2.6190040464,316.0,302.0,3.1800534872,257.0,225.0,0.0,-14.0,-32.0
晋城,山西,183,0.42778499272414877,1,0.0,165.0,165.0,-2.949525358,331.0,305.0,3.1293328069,270.0,244.0,0.0,-26.0,-26.0
普洱,云南,191,0.43703546766824314,1,0.0052356021,64.0,107.0,0.0936728572,30.0,30.0,3.4722848311,185.0,224.0,43.0,0.0,39.0
景德镇,江西,381,0.6172519744804386,1,0.0,165.0,165.0,-1.5378618438,269.0,276.0,3.6237410209,137.0,158.0,0.0,7.0,21.0
曲靖,云南,870,0.9327379053088815,1,0.0,165.0,165.0,-0.7806148899,180.0,242.0,3.7480162762,97.0,97.0,0.0,62.0,0.0
朔州,山西,131,0.3619392214170772,1,0.0,165.0,165.0,-3.9356284898,341.0,312.0,2.977684596,297.0,272.0,0.0,-29.0,-25.0
