city,province,region_std,city_job_count,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_c_penalty_display,Exposure_c,Exposure_c_penalty_display,SRI_c,SRI_c_penalty_display,entropy_c,entropy_c_penalty_display,GDI_rank_raw,GDI_rank_penalty,Exposure_rank_raw,Exposure_rank_penalty,SRI_rank_raw,SRI_rank_penalty,entropy_rank_raw,entropy_rank_penalty
吉安,江西,中部,1460,1000,1.0,0,0.0061643836,0.0061643836,8.314128472,8.314128472,-0.3958111832,-0.3958111832,3.8369561851,3.8369561851,51.0,40.0,190.0,64.0,99.0,173.0,59.0,55.0
吐鲁番,新疆,西部,29,1000,0.17029386365926402,1,0.0,0.0,7.2942770975,1.2421706295345571,-0.9294926084,-0.1582868875271633,2.7729734675,0.4722203656052016,165.0,165.0,338.0,327.0,207.0,91.0,317.0,321.0
吕梁,山西,中部,196,1000,0.4427188724235731,1,0.0,0.0,7.5457423457,3.3406425428871116,-3.2504606245,-1.4390402625358634,2.9278925679,1.2962332962380478,165.0,165.0,328.0,246.0,336.0,314.0,303.0,247.0
吴忠,宁夏,西部,106,1000,0.3255764119219941,1,0.0094339623,0.0030714755958413625,8.4879421016,2.763473734040558,-1.1982136036,-0.39011008577621054,3.0605333786,0.996437475972086,27.0,84.0,131.0,275.0,246.0,169.0,286.0,284.0
周口,河南,中部,514,1000,0.7169379331573968,1,0.0,0.0,7.9641270599,5.709784793727602,-3.1896476585,-2.2867793997853205,3.2935847816,2.3612958659989602,165.0,165.0,282.0,143.0,335.0,342.0,231.0,146.0
呼伦贝尔,内蒙古,西部,79,1000,0.2810693864511039,1,0.0,0.0,7.8425962849,2.20431372598055,-0.2351913441,-0.06610508678479746,3.1809349974,0.8940634480600619,165.0,165.0,305.0,300.0,69.0,55.0,256.0,297.0
呼和浩特,内蒙古,西部,1223,1000,1.0,0,0.0024529845,0.0024529845,8.8878106074,8.8878106074,-0.3194452104,-0.3194452104,3.6262228697,3.6262228697,121.0,100.0,58.0,28.0,86.0,147.0,135.0,90.0
和田,新疆,西部,27,1000,0.16431676725154984,1,0.0,0.0,8.9316065403,1.4676127130648955,0.7050156211,0.11584588772099556,2.788292538,0.45816321599577914,165.0,165.0,55.0,322.0,4.0,22.0,315.0,325.0
咸宁,湖北,中部,902,1000,0.9497368056467013,1,0.0011086475,0.0010529233352382014,8.1733947661,7.762573836445281,-0.7482884953,-0.7106771252283987,3.8273187297,3.6349454645370685,160.0,160.0,233.0,99.0,175.0,239.0,63.0,89.0
咸阳,陕西,西部,1162,1000,1.0,0,0.0008605852,0.0008605852,8.1337908998,8.1337908998,-1.8252494976,-1.8252494976,3.6922996079,3.6922996079,162.0,162.0,245.0,80.0,289.0,334.0,112.0,83.0
哈密,新疆,西部,94,1000,0.3065941943351178,1,0.0,0.0,7.8830554081,2.416899021745513,-0.5017230942,-0.15382538784557143,3.4369927133,1.053762011869884,165.0,165.0,297.0,296.0,120.0,89.0,194.0,275.0
哈尔滨,黑龙江,东北,2075,1000,1.0,0,0.0086746988,0.0086746988,8.9850787183,8.9850787183,-0.0928819142,-0.0928819142,3.8074551149,3.8074551149,39.0,26.0,43.0,20.0,46.0,66.0,74.0,64.0
唐山,河北,东部,697,1000,0.8348652585896721,1,0.0043041607,0.003593394235817004,8.5472560169,7.13580710478135,-1.6933299844,-1.4137023753037514,3.4587161308,2.8875619369286123,77.0,69.0,118.0,113.0,281.0,311.0,189.0,122.0
商丘,河南,中部,378,1000,0.6148170459575759,1,0.0,0.0,7.9280435849,4.8742963370911285,-3.1775386823,-1.9536049460676141,3.0772601463,1.891951992791144,165.0,165.0,287.0,178.0,334.0,338.0,282.0,195.0
